,India Labour,Last,Previous,Highest,Lowest,Unit,Op
0,b'\r\n                    Unemployment Rate\r\n                ',3.52,3.51,8.30,3.41,b'\r\n                    percent',[+]
1,b'\r\n                    Employed Persons\r\n                ',29650.00,28999.00,29650.00,17491.00,b'\r\n                    Thousand ',[+]
2,b'\r\n                    Unemployed Persons\r\n                ',44.85,48.26,48.26,5.10,b'\r\n                    Million',[+]
3,b'\r\n                    Labor Force Participation Rate\r\n                ',52.50,50.90,52.90,50.90,b'\r\n                    percent',[+]
4,b'\r\n                    Population\r\n                ',1283.60,1268.96,1283.60,359.00,b'\r\n                    Million',[+]
5,b'\r\n                    Retirement Age Women\r\n                ',60.00,60.00,60.00,60.00,b'\n',[+]
6,b'\r\n                    Retirement Age Men\r\n                ',60.00,60.00,60.00,60.00,b'\n',[+]
7,b'\r\n                    Living Wage Family\r\n                ',19400.00,19200.00,19400.00,19200.00,b'\r\n                    INR/Month',[+]
8,b'\r\n                    Living Wage Individual\r\n                ',10300.00,10100.00,10300.00,10100.00,b'\r\n                    INR/Month',[+]
9,b'\r\n                    Wages\r\n                ',272.19,255.65,272.19,3.87,b'\r\n                    INR/Day',[+]
10,b'\r\n                    Wages High Skilled\r\n                ',43200.00,46200.00,47300.00,43200.00,b'\r\n                    INR/Month',[+]
11,b'\r\n                    Wages In Manufacturing\r\n                ',347.30,322.07,347.30,4.86,b'\r\n                    INR/Day',[+]
12,b'\r\n                    Wages Low Skilled\r\n                ',10900.00,11300.00,13500.00,10900.00,b'\r\n                    INR/Month',[+]
13,b'\r\n                    Youth Unemployment Rate\r\n                ',12.90,18.10,18.10,12.90,b'\r\n                    percent',[+]
